mon,prez_gop,gov_gop,sen_gop,rep_gop,prez_dem,gov_dem,sen_dem,rep_dem
1/15/1947,0,23,51,253,1,23,45,198
2/15/1947,0,23,51,253,1,23,45,198
3/15/1947,0,23,51,253,1,23,45,198
4/15/1947,0,23,51,253,1,23,45,198
5/15/1947,0,23,51,253,1,23,45,198
6/15/1947,0,23,51,253,1,23,45,198
7/15/1947,0,23,51,253,1,23,45,198
8/15/1947,0,23,51,253,1,23,45,198
9/15/1947,0,23,51,253,1,23,45,198
10/15/1947,0,23,51,253,1,23,45,198
11/15/1947,0,24,51,253,1,23,45,198
12/15/1947,0,24,51,253,1,23,45,198
1/15/1948,0,22,53,253,1,24,48,198
2/15/1948,0,22,53,253,1,24,48,198
3/15/1948,0,22,53,253,1,24,48,198
4/15/1948,0,22,53,253,1,24,48,198
5/15/1948,0,22,53,253,1,24,48,198
6/15/1948,0,22,53,253,1,24,48,198
7/15/1948,0,22,53,253,1,24,48,198
8/15/1948,0,22,53,253,1,24,48,198
9/15/1948,0,22,53,253,1,24,48,198
10/15/1948,0,22,53,253,1,24,48,198
11/15/1948,0,22,53,253,1,24,48,198
12/15/1948,0,22,53,253,1,24,48,198
1/15/1949,0,18,45,177,1,29,58,269
2/15/1949,0,18,45,177,1,29,58,269
3/15/1949,0,18,45,177,1,29,58,269
4/15/1949,0,18,45,177,1,29,58,269
5/15/1949,0,18,45,177,1,29,58,269
6/15/1949,0,18,45,177,1,29,58,269
7/15/1949,0,18,45,177,1,30,58,269
8/15/1949,0,18,45,177,1,30,58,269
9/15/1949,0,18,45,177,1,30,58,269
10/15/1949,0,18,45,177,1,30,58,269
11/15/1949,0,18,45,177,1,30,58,269
12/15/1949,0,18,45,177,1,30,58,269
1/15/1950,0,18,44,177,1,29,57,269
2/15/1950,0,18,44,177,1,29,57,269
3/15/1950,0,18,44,177,1,29,57,269
4/15/1950,0,18,44,177,1,29,57,269
5/15/1950,0,18,44,177,1,29,57,269
6/15/1950,0,18,44,177,1,29,57,269
7/15/1950,0,18,44,177,1,29,57,269
8/15/1950,0,18,44,177,1,29,57,269
9/15/1950,0,18,44,177,1,29,57,269
10/15/1950,0,18,44,177,1,29,57,269
11/15/1950,0,18,44,177,1,29,57,269
12/15/1950,0,18,44,177,1,29,57,269
1/15/1951,0,24,47,207,1,22,51,242
2/15/1951,0,24,47,207,1,22,51,242
3/15/1951,0,24,47,207,1,22,51,242
4/15/1951,0,24,47,207,1,22,51,242
5/15/1951,0,24,47,207,1,22,51,242
6/15/1951,0,24,47,207,1,22,51,242
7/15/1951,0,24,47,207,1,22,51,242
8/15/1951,0,24,47,207,1,22,51,242
9/15/1951,0,24,47,207,1,22,51,242
10/15/1951,0,25,47,207,1,22,51,242
11/15/1951,0,25,47,207,1,22,51,242
12/15/1951,0,25,47,207,1,22,51,242
1/15/1952,0,24,50,207,1,22,50,242
2/15/1952,0,24,50,207,1,22,50,242
3/15/1952,0,24,50,207,1,22,50,242
4/15/1952,0,24,50,207,1,22,50,242
5/15/1952,0,24,50,207,1,22,50,242
6/15/1952,0,24,50,207,1,22,50,242
7/15/1952,0,24,50,207,1,22,50,242
8/15/1952,0,24,50,207,1,22,50,242
9/15/1952,0,24,50,207,1,22,50,242
10/15/1952,0,24,50,207,1,22,50,242
11/15/1952,0,24,50,207,1,22,50,242
12/15/1952,0,24,50,207,1,22,50,242
1/15/1953,1,29,50,222,0,17,49,220
2/15/1953,1,29,50,222,0,17,49,220
3/15/1953,1,29,50,222,0,17,49,220
4/15/1953,1,29,50,222,0,17,49,220
5/15/1953,1,29,50,222,0,17,49,220
6/15/1953,1,29,50,222,0,17,49,220
7/15/1953,1,29,50,222,0,17,49,220
8/15/1953,1,29,50,222,0,17,49,220
9/15/1953,1,29,50,222,0,17,49,220
10/15/1953,1,30,50,222,0,18,49,220
11/15/1953,1,30,50,222,0,18,49,220
12/15/1953,1,30,50,222,0,18,49,220
1/15/1954,1,29,55,222,0,18,53,220
2/15/1954,1,29,55,222,0,18,53,220
3/15/1954,1,29,55,222,0,18,53,220
4/15/1954,1,29,55,222,0,18,53,220
5/15/1954,1,29,55,222,0,18,53,220
6/15/1954,1,29,55,222,0,18,53,220
7/15/1954,1,29,55,222,0,18,53,220
8/15/1954,1,29,55,222,0,18,53,220
9/15/1954,1,29,55,222,0,18,53,220
10/15/1954,1,29,55,222,0,18,53,220
11/15/1954,1,29,55,222,0,19,53,220
12/15/1954,1,29,55,222,0,19,53,220
1/15/1955,1,21,47,204,0,26,48,237
2/15/1955,1,21,47,204,0,26,48,237
3/15/1955,1,21,47,204,0,26,48,237
4/15/1955,1,21,47,204,0,26,48,237
5/15/1955,1,21,47,204,0,26,48,237
6/15/1955,1,21,47,204,0,26,48,237
7/15/1955,1,21,47,204,0,26,48,237
8/15/1955,1,21,47,204,0,26,48,237
9/15/1955,1,21,47,204,0,26,48,237
10/15/1955,1,21,47,204,0,26,48,237
11/15/1955,1,21,47,204,0,26,48,237
